horizon,mse,rmse,mae,mape,mdape,smape,coverage
1 days,0.12462275022443085,0.3530194757013143,0.2814565026331736,0.075928231937676,0.061879177002532045,0.07771968394706323,0.6666666666666666
2 days,0.0315587289680381,0.1776477665720515,0.14098034774012194,0.03981240513873379,0.04004496514052215,0.03962818989351092,0.888888888888889
3 days,0.08044382888764388,0.28362621332952265,0.22840817210126754,0.06622086510144673,0.06961925455335698,0.06381806644253314,0.7777777777777777
4 days,0.09627832516877281,0.3102874879346133,0.2551588894440758,0.07394490852106046,0.05357912256823715,0.07407103938112912,0.6666666666666666
5 days,0.13002936854839342,0.36059585209538036,0.2916732144803497,0.09091654488858186,0.07420612452005113,0.08858128429301805,0.5555555555555555
6 days,0.12846086267814424,0.3584143728676966,0.31717993734004923,0.0899316406844805,0.08855967732095729,0.09194832032530621,0.4444444444444445
7 days,0.14231734815316577,0.37724971590866146,0.29741107868000466,0.09058014672204577,0.0731687835948249,0.08914163571494234,0.625
